DateTime,Open,High,Low,Close,Volume
20171018 08:00:00.000,1.17612,1.17658,1.17441,1.17456,12738583000
20171018 09:00:00.000,1.17456,1.17472,1.17303,1.17420,12577430000
20171018 10:00:00.000,1.17421,1.17585,1.17414,1.17522,9958258000
20171018 11:00:00.000,1.17523,1.17548,1.17451,1.17451,9110396000
20171018 12:00:00.000,1.17452,1.17699,1.17436,1.17648,19257801000
20171018 13:00:00.000,1.17648,1.17772,1.17613,1.17646,14662438000
20171018 14:00:00.000,1.17646,1.17803,1.17599,1.17772,13078779000
20171018 15:00:00.000,1.17772,1.17808,1.17667,1.17733,12192485000
20171018 16:00:00.000,1.17734,1.17939,1.17733,1.17869,10352571000
20171018 17:00:00.000,1.17869,1.17896,1.17835,1.17856,4774171000
20171018 18:00:00.000,1.17855,1.18053,1.17845,1.18030,8794163000
20171018 19:00:00.000,1.18031,1.18036,1.17931,1.17937,5892305000
20171018 20:00:00.000,1.17937,1.17961,1.17862,1.17872,2731287000
20171018 21:00:00.000,1.17877,1.17939,1.17871,1.17920,3486422000
20171018 22:00:00.000,1.17921,1.17967,1.17918,1.17949,3370128000
20171018 23:00:00.000,1.17950,1.17999,1.17928,1.17943,5017007000
20171019 00:00:00.000,1.17944,1.18166,1.17930,1.18110,9431762000
20171019 01:00:00.000,1.18111,1.18142,1.18026,1.18045,7450087000
20171019 02:00:00.000,1.18046,1.18052,1.17956,1.17987,6864704000
20171019 03:00:00.000,1.17988,1.18021,1.17949,1.17996,3368058000
20171019 04:00:00.000,1.17996,1.18067,1.17993,1.18024,5190248000
20171019 05:00:00.000,1.18024,1.18034,1.17947,1.17980,5585808000
20171019 06:00:00.000,1.17978,1.18224,1.17972,1.18213,11486539000
20171019 07:00:00.000,1.18213,1.18214,1.18047,1.18137,13223563000
20171019 08:00:00.000,1.18138,1.18172,1.17680,1.18062,21584675000
20171019 09:00:00.000,1.18063,1.18163,1.18004,1.18134,11391640000
20171019 10:00:00.000,1.18134,1.18366,1.18091,1.18239,18504513000
20171019 11:00:00.000,1.18240,1.18397,1.18222,1.18347,11971332000
20171019 12:00:00.000,1.18348,1.18423,1.18261,1.18301,14915967000
20171019 13:00:00.000,1.18303,1.18477,1.18269,1.18450,13569094000
20171019 14:00:00.000,1.18450,1.18583,1.18403,1.18524,15208177000
20171019 15:00:00.000,1.18524,1.18547,1.18412,1.18422,10258791000
20171019 16:00:00.000,1.18424,1.18444,1.18301,1.18347,11166854000
20171019 17:00:00.000,1.18351,1.18365,1.18279,1.18363,5750596000
